,player_name,MaySpin,AugustSpin,%Difference
264,"Ohtani, Shohei",2137.370919881306,2066.83286908078,-3.3000000000000003
265,"Ottavino, Adam",2672.0917030567684,2414.3105263157895,-9.65
266,"Oviedo, Luis",2167.9488636363635,2214.0307692307692,2.13
267,"Paddack, Chris",2153.2570694087403,2158.0116279069766,0.22
268,"Pagán, Emilio",2465.1041666666665,2454.5,-0.43
269,"Patiño, Luis",2433.5714285714284,2423.2602150537637,-0.42
270,"Payamps, Joel",2367.3958333333335,2432.877551020408,2.77
271,"Peacock, Matt",2149.4554455445545,2152.1015625,0.12
272,"Peralta, Freddy",2261.1195652173915,2217.4434782608696,-1.9300000000000002
273,"Peralta, Wandy",2298.9312977099235,2136.5723270440253,-7.06
274,"Perdomo, Angel",2480.472602739726,2442.0204081632655,-1.55
275,"Petit, Yusmeiro",2050.253968253968,2055.6902173913045,0.27
276,"Pineda, Michael",1946.1892857142857,1865.705069124424,-4.14
277,"Pivetta, Nick",2428.9491869918697,2395.3802816901407,-1.38
278,"Plesac, Zach",1964.7098121085594,1898.6998123827393,-3.36
279,"Plutko, Adam",2455.159183673469,2285.948717948718,-6.890000000000001
280,"Pomeranz, Drew",2469.1111111111113,2404.5384615384614,-2.62
281,"Ponce de Leon, Daniel",2314.6492537313434,2092.6976744186045,-9.59
282,"Ponce, Cody",2500.229885057471,2171.176470588235,-13.16
283,"Pop, Zach",2308.064516129032,2214.948717948718,-4.03
284,"Poppen, Sean",2201.764705882353,2039.2631578947369,-7.380000000000001
285,"Pressly, Ryan",2772.256830601093,2772.263565891473,0.0
286,"Price, David",1997.7882352941176,1914.493865030675,-4.17
287,"Pérez, Martín",2077.487684729064,2003.1524390243903,-3.58
288,"Quantrill, Cal",2051.1481481481483,2040.5949895615865,-0.51
289,"Quijada, José",2318.377358490566,2183.882716049383,-5.800000000000001
290,"Quintana, José",1989.9899749373433,1989.3548387096773,-0.03
291,"Rainey, Tanner",2363.7733333333335,2325.8928571428573,-1.6
292,"Raley, Brooks",2664.346153846154,2658.0510204081634,-0.24
293,"Ramirez, Noé",2332.276595744681,2263.1,-2.97
294,"Ramirez, Yohan",2323.3898305084745,2424.5825242718447,4.36
295,"Rasmussen, Drew",2506.7735849056603,2455.5258964143427,-2.04
296,"Ray, Robbie",2198.497975708502,2203.5083056478406,0.22999999999999998
297,"Reyes, Alex",2640.9061371841153,2233.0833333333335,-15.440000000000001
298,"Richards, Garrett",2807.1470588235293,2347.733333333333,-16.37
299,"Richards, Trevor",2241.8777777777777,2256.3611111111113,0.65
300,"Robles, Hansel",2100.133079847909,2050.909836065574,-2.34
301,"Rodriguez, Chris",2240.3333333333335,2059.181818181818,-8.09
302,"Rodriguez, Eduardo",2134.7886029411766,2088.1678004535147,-2.18
303,"Rodríguez, Joely",1700.36875,1615.659420289855,-4.9799999999999995
304,"Rodríguez, Richard",2579.851282051282,2269.3108808290153,-12.04
305,"Rodón, Carlos",2234.3873684210525,2328.230769230769,4.2
306,"Rogers, Tyler",2031.1043956043957,2023.0588235294117,-0.4
307,"Romano, Jordan",2404.2428571428572,2290.9811320754716,-4.71
308,"Romano, Sal",2221.684210526316,2082.740740740741,-6.25
309,"Romo, Sergio",2472.2214285714285,2565.7616822429904,3.7800000000000002
310,"Ross, Joe",2040.752049180328,1973.4096385542168,-3.3000000000000003
311,"Ruiz, José",2322.6723163841807,2368.7272727272725,1.9800000000000002
312,"Ryan, Kyle",2028.6666666666667,1942.9814814814815,-4.22
313,"Ryu, Hyun Jin",1866.58872651357,1953.6283018867925,4.66
314,"Sanchez, Aaron",2003.1566265060242,2043.0666666666666,1.9900000000000002
315,"Sandlin, Nick",2589.548387096774,2345.936170212766,-9.41
316,"Sandoval, Patrick",2003.1352112676057,2074.9162011173185,3.58
317,"Santana, Dennis",2578.7798742138366,2398.189655172414,-7.000000000000001
318,"Santana, Edgar",2344.2549019607845,2147.82,-8.38
319,"Santana, Ervin",2270.0359281437127,2222.3255813953488,-2.1
320,"Santos, Antonio",2018.6875,2062.3958333333335,2.17
321,"Sawamura, Hirokazu",1816.4906832298136,1677.260606060606,-7.66
322,"Sborz, Josh",2375.2314814814813,2123.6206896551726,-10.59
323,"Scherzer, Max",2346.638655462185,2242.258547008547,-4.45
324,"Scott, Tanner",2625.794117647059,2611.4563758389263,-0.5499999999999999
325,"Selman, Sam",2494.064516129032,2335.8916256157636,-6.34
326,"Senzatela, Antonio",2101.9504373177842,2092.1967213114754,-0.45999999999999996
327,"Sewald, Paul",2335.5220125786163,2363.233009708738,1.1900000000000002
328,"Shaw, Bryan",2345.6805555555557,2378.4549356223174,1.4000000000000001
329,"Shreve, Chasen",1964.25,1813.4757281553398,-7.68
330,"Sims, Lucas",2953.8988095238096,2741.9836065573772,-7.17
331,"Singer, Brady",2298.516853932584,2303.4,0.21
332,"Skubal, Tarik",2091.6119402985073,2021.9185022026431,-3.3300000000000005
333,"Slegers, Aaron",1995.7766497461928,1934.274647887324,-3.08
334,"Smith, Burch",2464.5860215053763,2071.394495412844,-15.950000000000001
335,"Smith, Caleb",2419.10447761194,2357.55795148248,-2.54
336,"Smith, Drew",2628.806818181818,2493.044943820225,-5.16
337,"Smith, Joe",2062.608695652174,1948.8807947019868,-5.510000000000001
338,"Smith, Will",2281.7974683544303,2296.8883720930235,0.66
339,"Smyly, Drew",2201.537084398977,2009.5889423076924,-8.72
340,"Snell, Blake",2327.1062618595824,2373.7858267716533,2.01
341,"Soria, Joakim",2281.7580645161293,2318.5833333333335,1.6099999999999999
342,"Soto, Gregory",2412.763819095477,2359.6651785714284,-2.1999999999999997
343,"Stammen, Craig",2235.922374429224,2287.8050847457625,2.32
344,"Stanek, Ryne",1949.8018018018017,2021.965,3.6999999999999997
345,"Staumont, Josh",2444.5046296296296,2474.56038647343,1.23
346,"Steckenrider, Drew",2267.451219512195,2222.277777777778,-1.9900000000000002
347,"Steele, Justin",2573.8129496402876,2491.231111111111,-3.2099999999999995
348,"Stephan, Trevor",2458.6305732484075,2337.932142857143,-4.91
349,"Stephenson, Robert",2884.688888888889,2740.3076923076924,-5.01
350,"Stratton, Chris",2741.71,2702.0111731843576,-1.4500000000000002
351,"Strickland, Hunter",2497.475,2519.3275862068967,0.8699999999999999
352,"Stripling, Ross",2203.5837004405284,2142.9126984126983,-2.75
353,"Stroman, Marcus",2428.279475982533,2291.636524822695,-5.63
354,"Suarez, José",2037.9271523178809,2150.421212121212,5.52
355,"Suero, Wander",2477.2868217054265,2373.2875,-4.2
